COMPANY_ACCOUNT;MERCHANT_ACCOUNT;BATCH_NUMBER;PSP_REFERENCE;ORDER_REF;PAYMENT_METHOD;DATE;TIMEZONE;TYPE;MODIFICATION_REFERENCE;CURRENCY;NET;FEE;GROSS
JetBrains;JetBrainsAmericasUSD;353;00003629EAFD4CDE;E000033006;visa;2031-01-25;UTC;Settled;B8B0F25472514340;USD;27.0;1.0;28.0
JetBrains;JetBrainsAmericasUSD;353;0001E4CC63464673;Z000066963;visa;2031-03-01;UTC;Settled;DBC17561B909474C;USD;371.0;19.0;390.0
JetBrains;JetBrainsAmericasUSD;353;000444742F564E56;E000073757;mc;2031-03-03;UTC;Settled;227B15D8A4BB4A4C;USD;114.0;6.0;120.0
JetBrains;JetBrainsAmericasUSD;353;0006385489924BF0;C000022451;visa;2031-02-27;UTC;Settled;87F921137EE34CBC;USD;185.0;10.0;195.0
JetBrains;JetBrainsAmericasUSD;353;000999D24E52453A;Z000001549;visa;2031-04-12;UTC;Settled;79D9834C7C8949C2;USD;57.0;3.0;60.0
JetBrains;JetBrainsAmericasUSD;353;0009F88F00464284;E000055904;visa;2031-03-14;UTC;Settled;0E1A9600510849BB;USD;67.0;3.0;70.0
JetBrains;JetBrainsAmericasUSD;353;000EA15B3F8D4604;C000004309;visa;2031-03-11;UTC;Settled;503385511EDA4781;USD;133.0;7.0;140.0
JetBrains;JetBrainsAmericasUSD;353;0011219070344203;Z000048000;visa;2031-02-15;UTC;Settled;F2A90491499449D4;USD;48.0;2.0;50.0
JetBrains;JetBrainsAmericasUSD;353;00117DE5B2104388;R000062271;mc;2031-01-16;UTC;Settled;FBA397FD5B244731;USD;19.0;1.0;20.0
JetBrains;JetBrainsAmericasUSD;353;001406BD9A514D5A;E000012014;visa;2030-12-22;UTC;Settled;791A7B8566134B58;USD;428.0;22.0;450.0
JetBrains;JetBrainsAmericasUSD;353;0015FB4E841F434C;E000062640;mc;2031-03-21;UTC;Settled;3D62AD0CD7AF4BBF;USD;133.0;7.0;140.0
JetBrains;JetBrainsAmericasUSD;353;0016BFFC4A534BBE;A000024370;visa;2031-03-09;UTC;Settled;4F746AE808E144AD;USD;53.0;3.0;56.0
JetBrains;JetBrainsAmericasUSD;353;001785D4096D4913;A000057329;visa;2031-04-04;UTC;Settled;688E97F65D4A4907;USD;152.0;8.0;160.0
JetBrains;JetBrainsAmericasUSD;353;0019F6ACD9AC4356;A000060492;visa;2031-04-09;UTC;Settled;FD48D16BA8A24C7F;USD;238.0;12.0;250.0
JetBrains;JetBrainsAmericasUSD;353;001A64EDC1754221;C000023631;visa;2031-01-23;UTC;Settled;DC108DFF16704480;USD;19.0;1.0;20.0
JetBrains;JetBrainsAmericasUSD;353;001B3A02BE884A02;Z000024277;mc;2031-02-25;UTC;Settled;E88B60F6F96048DB;USD;238.0;12.0;250.0
JetBrains;JetBrainsAmericasUSD;353;001D7CF7BB09480E;Z000002412;visa;2031-04-13;UTC;Settled;AC84F8BAD00E47DA;USD;143.0;7.0;150.0
JetBrains;JetBrainsAmericasUSD;353;001D8C775A7E43D2;A000030296;mc;2031-03-29;UTC;Settled;06C96C74D98D44CD;USD;106.0;6.0;112.0
JetBrains;JetBrainsAmericasUSD;353;0020127E8E574F49;E000041457;mc;2031-03-31;UTC;Settled;BBE26142BF9F435D;USD;133.0;7.0;140.0
JetBrains;JetBrainsAmericasUSD;353;0021D716C41741C2;Z000072092;visa;2030-12-25;UTC;Settled;761B978931E34833;USD;48.0;2.0;50.0
JetBrains;JetBrainsAmericasUSD;353;0022EBFDB1EE4082;A000019684;visa;2031-03-14;UTC;Settled;B364FFBFC5E74849;USD;80.0;4.0;84.0
JetBrains;JetBrainsAmericasUSD;353;0023F4B6B6E54B45;C000045208;mc;2031-02-22;UTC;Settled;A6554B17799F46E0;USD;67.0;3.0;70.0
JetBrains;JetBrainsAmericasUSD;353;0024E6ED1C894551;R000006443;visa;2031-03-29;UTC;Settled;6A8D1F98862B49AA;USD;13.0;1.0;14.0
JetBrains;JetBrainsAmericasUSD;353;00258FC3C81E44B7;R000003484;visa;2031-02-10;UTC;Settled;8835858903F44046;USD;57.0;3.0;60.0
JetBrains;JetBrainsAmericasUSD;353;0025B9C6E65B4CB0;A000067500;visa;2031-01-14;UTC;Settled;11341389CA584FAF;USD;285.0;15.0;300.0
