COMPANY_ACCOUNT;MERCHANT_ACCOUNT;BATCH_NUMBER;PSP_REFERENCE;ORDER_REF;PAYMENT_METHOD;DATE;TIMEZONE;TYPE;MODIFICATION_REFERENCE;CURRENCY;NET;FEE;GROSS
JetBrains;JetBrainsEUR;350;0001155CDCEB4D72;R000015016;mc;2030-04-01;UTC;Settled;1073020BFA364922;EUR;190.0;10.0;200.0
JetBrains;JetBrainsEUR;350;00013E3651A2406D;R000023984;visa;2030-02-06;UTC;Settled;73979ADA5E9349F1;EUR;95.0;5.0;100.0
JetBrains;JetBrainsEUR;350;0002E1DFE7EA45E4;A000006097;mc;2030-01-22;UTC;Settled;385C9C9BA0B14F1B;EUR;152.0;8.0;160.0
JetBrains;JetBrainsEUR;350;0004A36D3DCF42D3;C000027600;visa;2030-04-10;UTC;Settled;4020FA378F7B4336;EUR;133.0;7.0;140.0
JetBrains;JetBrainsEUR;350;0007811D8C3F490D;R000061318;mc;2030-01-12;UTC;Settled;9CBF60EA96504644;EUR;106.0;6.0;112.0
JetBrains;JetBrainsEUR;350;000813BF72094F5B;E000004822;visa;2030-02-18;UTC;Settled;7AE18DBAF8334365;EUR;106.0;6.0;112.0
JetBrains;JetBrainsEUR;350;000AD7D66AA140A6;Z000014498;visa;2030-02-26;UTC;Settled;6D1E37D1D0714DF3;EUR;309.0;16.0;325.0
JetBrains;JetBrainsEUR;350;000B741F9BBA4086;R000059558;visa;2030-03-18;UTC;Settled;57653591E2544F64;EUR;95.0;5.0;100.0
JetBrains;JetBrainsEUR;350;000CDD51D8704F5F;A000073876;mc;2030-04-03;UTC;Settled;69BCE6BBB5584BF2;EUR;80.0;4.0;84.0
JetBrains;JetBrainsEUR;350;000DAFEF00CB4ECB;E000060879;visa;2030-03-17;UTC;Settled;A7D1279CD0D14110;EUR;38.0;2.0;40.0
JetBrains;JetBrainsEUR;350;000E87C231054F6C;R000059523;visa;2030-01-11;UTC;Settled;30B0C1B7AC044A02;EUR;57.0;3.0;60.0
JetBrains;JetBrainsEUR;350;000F2881460F440B;A000010720;visa;2030-03-19;UTC;Settled;DE675BB41F164B12;EUR;190.0;10.0;200.0
JetBrains;JetBrainsEUR;350;0011344024B14F33;Z000016574;visa;2030-01-25;UTC;Settled;9519C7230DFF4FA2;EUR;171.0;9.0;180.0
JetBrains;JetBrainsEUR;350;00127AB359504B9F;C000037077;visa;2030-03-24;UTC;Settled;26B63726CB72426D;EUR;133.0;7.0;140.0
JetBrains;JetBrainsEUR;350;00168C3B16AA4A95;E000047916;visa;2030-03-26;UTC;Settled;54C776BB576D49D7;EUR;371.0;19.0;390.0
JetBrains;JetBrainsEUR;350;0016939F1D794EC0;Z000034829;mc;2030-01-12;UTC;Settled;C9F5C119005248AD;EUR;238.0;12.0;250.0
JetBrains;JetBrainsEUR;350;001694D6BE424D53;E000015447;visa;2030-02-15;UTC;Settled;BBEE5982421F4439;EUR;371.0;19.0;390.0
JetBrains;JetBrainsEUR;350;0017527ECFA44DC9;Z000054557;mc;2030-01-25;UTC;Settled;8495D83CE03546AA;EUR;428.0;22.0;450.0
JetBrains;JetBrainsEUR;350;00175A57CFA44EB2;E000062589;mc;2030-03-26;UTC;Settled;F1E3587941B84118;EUR;190.0;10.0;200.0
JetBrains;JetBrainsEUR;350;001DDB7747394992;E000023927;mc;2030-03-08;UTC;Settled;D78FA982C86A4657;EUR;494.0;26.0;520.0
JetBrains;JetBrainsEUR;350;002585F662454808;A000003739;visa;2030-01-16;UTC;Settled;72703EC06AF6493F;EUR;48.0;2.0;50.0
JetBrains;JetBrainsEUR;350;002586CDBA0B4BEE;E000050501;visa;2030-03-05;UTC;Settled;4911E64BE0DA4F8E;EUR;38.0;2.0;40.0
JetBrains;JetBrainsEUR;350;0026C42F952D4BAB;Z000037115;visa;2030-01-14;UTC;Settled;16CFF067029E4138;EUR;48.0;2.0;50.0
JetBrains;JetBrainsEUR;350;00272D8B42784E62;Z000052348;visa;2030-01-10;UTC;Settled;4C4F2D567B504E75;EUR;120.0;6.0;126.0
JetBrains;JetBrainsEUR;350;002977E94B7443EE;Z000021217;visa;2030-01-26;UTC;Settled;7F600A8A0F844C31;EUR;38.0;2.0;40.0
JetBrains;JetBrainsEUR;350;002D23D7643A4CA6;Z000048604;mc;2030-02-20;UTC;Settled;C49D7BDEDE6C4A9C;EUR;95.0;5.0;100.0
JetBrains;JetBrainsEUR;350;002D38264D35416B;C000025642;visa;2030-03-10;UTC;Settled;E8EAE5BAD1FA48DE;EUR;309.0;16.0;325.0
JetBrains;JetBrainsEUR;350;0030E8DB6508440D;R000051436;visa;2030-02-26;UTC;Settled;6867B69D2BA24C16;EUR;133.0;7.0;140.0
JetBrains;JetBrainsEUR;350;0036046445354AC2;C000027817;mc;2030-03-21;UTC;Settled;19D9DFFFAB9A4D1B;EUR;432.0;23.0;455.0
JetBrains;JetBrainsEUR;350;003632CBD24847A5;Z000023766;visa;2030-03-13;UTC;Settled;24BA08B410704A65;EUR;309.0;16.0;325.0
JetBrains;JetBrainsEUR;350;0036FAA9AC8F4C32;A000027851;visa;2030-03-29;UTC;Settled;07E764105B754C03;EUR;114.0;6.0;120.0
JetBrains;JetBrainsEUR;350;0038CC9F2422463D;E000023599;mc;2030-03-24;UTC;Settled;D0496335528F40C3;EUR;133.0;7.0;140.0
JetBrains;JetBrainsEUR;350;003C29251671405B;C000038365;mc;2030-02-10;UTC;Settled;3A1111A58CA44D6B;EUR;556.0;29.0;585.0
JetBrains;JetBrainsEUR;350;004038F92C7F407A;E000057902;visa;2030-03-26;UTC;Settled;293D8E3730AC41CF;EUR;432.0;23.0;455.0
JetBrains;JetBrainsEUR;350;0041E440CE154AFD;C000028835;mc;2030-01-05;UTC;Settled;ACD9D09636864F08;EUR;19.0;1.0;20.0
JetBrains;JetBrainsEUR;350;0043014C87114AAF;C000070899;visa;2030-02-09;UTC;Settled;6C403E57EC4C4DE0;EUR;114.0;6.0;120.0
JetBrains;JetBrainsEUR;350;00438B1D3EAE4A66;E000044539;visa;2030-02-17;UTC;Settled;517011C7B1674ABE;EUR;380.0;20.0;400.0
JetBrains;JetBrainsEUR;350;004522BB781A464A;Z000023434;mc;2030-03-16;UTC;Settled;74344FC52BE7407D;EUR;57.0;3.0;60.0
JetBrains;JetBrainsEUR;350;004639873DA2416E;Z000066464;visa;2030-04-02;UTC;Settled;5423EF99D90F492C;EUR;133.0;7.0;140.0
JetBrains;JetBrainsEUR;350;00479D1D2832466B;Z000011186;visa;2030-03-10;UTC;Settled;BCDC936B11664333;EUR;285.0;15.0;300.0
JetBrains;JetBrainsEUR;350;0047FD81609D4E74;Z000017068;visa;2030-01-16;UTC;Settled;41D34BC9DA964F04;EUR;285.0;15.0;300.0
JetBrains;JetBrainsEUR;350;004A4AD77A6A424D;C000037079;visa;2030-01-16;UTC;Settled;1E2BC0F149F3498C;EUR;38.0;2.0;40.0
JetBrains;JetBrainsEUR;350;004D514367E8438F;Z000040968;mc;2030-01-05;UTC;Settled;8C16A0678753414D;EUR;133.0;7.0;140.0
JetBrains;JetBrainsEUR;350;005075E6A5D14CBB;R000034787;visa;2030-03-24;UTC;Settled;EAE16D87A6E2424D;EUR;428.0;22.0;450.0
JetBrains;JetBrainsEUR;350;00522267248F42E7;Z000037618;mc;2030-01-28;UTC;Settled;512C1812A416495C;EUR;171.0;9.0;180.0
JetBrains;JetBrainsEUR;350;0052C3EA69AB4340;E000063548;visa;2030-02-22;UTC;Settled;968F3D940DE642B9;EUR;38.0;2.0;40.0
JetBrains;JetBrainsEUR;350;0056FA77926842E6;R000014661;visa;2030-04-14;UTC;Settled;0C11CF5FAE224A32;EUR;67.0;3.0;70.0
