COMPANY_ACCOUNT;MERCHANT_ACCOUNT;BATCH_NUMBER;PSP_REFERENCE;ORDER_REF;PAYMENT_METHOD;DATE;TIMEZONE;TYPE;MODIFICATION_REFERENCE;CURRENCY;NET;FEE;GROSS
JetBrains;JetBrainsGBP;352;0014A72605404D87;R000035835;mc;2030-10-17;UTC;Settled;68E222C2CFAD4FE5;GBP;120.0;6.0;126.0
JetBrains;JetBrainsGBP;352;001F7DCBC96144CC;Z000024332;visa;2030-12-14;UTC;Settled;B1CD819EE6214B89;GBP;114.0;6.0;120.0
JetBrains;JetBrainsGBP;352;002FB1B1A81842C2;A000073054;visa;2030-12-05;UTC;Settled;EE99558C7F034485;GBP;124.0;6.0;130.0
JetBrains;JetBrainsGBP;352;0049748C49234379;Z000003371;mc;2030-11-22;UTC;Settled;EC129F180D3E4A8A;GBP;171.0;9.0;180.0
JetBrains;JetBrainsGBP;352;006C70FD84864AEF;A000033206;visa;2030-11-11;UTC;Settled;C17B5861D372402B;GBP;618.0;32.0;650.0
JetBrains;JetBrainsGBP;352;00869923FA7943BB;A000033680;mc;2030-09-26;UTC;Settled;E91DCF87C1D443F2;GBP;432.0;23.0;455.0
JetBrains;JetBrainsGBP;352;0088FF2BAC90459A;E000009202;visa;2030-09-04;UTC;Settled;96728D10CA5F41CC;GBP;143.0;7.0;150.0
JetBrains;JetBrainsGBP;352;00999ADCC8D8447A;A000070299;visa;2030-10-16;UTC;Settled;BA7B3AF80B13431C;GBP;40.0;2.0;42.0
JetBrains;JetBrainsGBP;352;00A5BF3519574C29;E000060586;visa;2030-09-30;UTC;Settled;5F454273E7934BBC;GBP;76.0;4.0;80.0
JetBrains;JetBrainsGBP;352;00ACCDC34A934707;Z000006720;mc;2030-10-29;UTC;Settled;85FAE4CEB5D2458C;GBP;120.0;6.0;126.0
JetBrains;JetBrainsGBP;352;00D093EEBFD4418C;E000060558;visa;2030-09-24;UTC;Settled;8FFC17197AF5432A;GBP;133.0;7.0;140.0
JetBrains;JetBrainsGBP;352;00D42614883B4095;A000020863;visa;2030-12-12;UTC;Settled;FAB02253782D42EC;GBP;48.0;2.0;50.0
