COMPANY_ACCOUNT;MERCHANT_ACCOUNT;BATCH_NUMBER;PSP_REFERENCE;ORDER_REF;PAYMENT_METHOD;DATE;TIMEZONE;TYPE;MODIFICATION_REFERENCE;CURRENCY;NET;FEE;GROSS
JetBrains;JetBrainsUSD;353;000B55191BF6472D;C000032694;mc;2031-02-21;UTC;Settled;FFB9FDFC082449E7;USD;133.0;7.0;140.0
JetBrains;JetBrainsUSD;353;000CABF929574687;R000024692;visa;2031-02-02;UTC;Settled;14999FF90F784CED;USD;238.0;12.0;250.0
JetBrains;JetBrainsUSD;353;0015DAE0A79C41E5;E000040200;visa;2031-02-24;UTC;Settled;05EFE268954E403C;USD;285.0;15.0;300.0
JetBrains;JetBrainsUSD;353;0018D0FE876E4239;Z000039273;mc;2031-03-04;UTC;Settled;2AA9D777698F472A;USD;143.0;7.0;150.0
JetBrains;JetBrainsUSD;353;001924A6E1E34BD4;A000036339;mc;2030-12-19;UTC;Settled;CE267DED21F64465;USD;27.0;1.0;28.0
JetBrains;JetBrainsUSD;353;0019F7DD75E64404;C000022167;mc;2031-03-08;UTC;Settled;2CAFC960BC474C8E;USD;333.0;17.0;350.0
JetBrains;JetBrainsUSD;353;002AF8E9B92C454B;C000003637;visa;2031-02-05;UTC;Settled;F7CFF0C4192541AC;USD;114.0;6.0;120.0
JetBrains;JetBrainsUSD;353;00382B02F5FB4A58;R000035368;mc;2031-02-09;UTC;Settled;08190D80FFAE4965;USD;432.0;23.0;455.0
JetBrains;JetBrainsUSD;353;0038E8B204B44D88;C000024577;visa;2031-03-26;UTC;Settled;D2B7AD36EC214287;USD;48.0;2.0;50.0
JetBrains;JetBrainsUSD;353;003D03C952594D43;R000037110;visa;2031-02-22;UTC;Settled;B785D7B5913D4843;USD;40.0;2.0;42.0
JetBrains;JetBrainsUSD;353;004CCDD08A514334;Z000006283;mc;2031-01-25;UTC;Settled;1E1A2915B2FF489F;USD;333.0;17.0;350.0
JetBrains;JetBrainsUSD;353;0050014D10474CB3;C000028449;mc;2031-04-01;UTC;Settled;479D88320AD64B92;USD;27.0;1.0;28.0
JetBrains;JetBrainsUSD;353;005B34278B334952;E000016875;visa;2031-03-01;UTC;Settled;9A8508FA2E784593;USD;133.0;7.0;140.0
JetBrains;JetBrainsUSD;353;005DE3B9819941A5;Z000018324;mc;2031-02-25;UTC;Settled;3A792AF7C04740E0;USD;238.0;12.0;250.0
JetBrains;JetBrainsUSD;353;00864FA3858E4136;R000052919;mc;2031-04-12;UTC;Settled;FBB9D7FAC65D425A;USD;190.0;10.0;200.0
JetBrains;JetBrainsUSD;353;008FEAF04EB34F26;Z000061653;mc;2031-04-02;UTC;Settled;67D0451C00B34CDE;USD;106.0;6.0;112.0
JetBrains;JetBrainsUSD;353;00933995498B46D1;Z000036155;visa;2031-04-15;UTC;Settled;80E97E8D53B7468F;USD;38.0;2.0;40.0
JetBrains;JetBrainsUSD;353;0098B438DB224910;C000072276;visa;2031-04-08;UTC;Settled;21B1B721C4FC4856;USD;27.0;1.0;28.0
JetBrains;JetBrainsUSD;353;00B1437196B149AC;E000044591;visa;2031-02-19;UTC;Settled;23FE5EF32B654F00;USD;62.0;3.0;65.0
JetBrains;JetBrainsUSD;353;00C19DE8404B4C3E;R000050469;mc;2031-03-18;UTC;Settled;BE0D3ACF0C1C490C;USD;13.0;1.0;14.0
JetBrains;JetBrainsUSD;353;00D12D2662C24F3E;C000010248;visa;2031-01-22;UTC;Settled;A643D31500CA41A5;USD;475.0;25.0;500.0
JetBrains;JetBrainsUSD;353;00D41C076C144C8A;Z000004040;visa;2031-01-10;UTC;Settled;5E60BB6463B04BF6;USD;120.0;6.0;126.0
JetBrains;JetBrainsUSD;353;00D6640CE6774603;E000022714;visa;2031-03-01;UTC;Settled;AA8145CE74CB427D;USD;171.0;9.0;180.0
JetBrains;JetBrainsUSD;353;00D932B256AB4BCD;R000010031;visa;2031-02-07;UTC;Settled;9BE312E555CD4B78;USD;48.0;2.0;50.0
JetBrains;JetBrainsUSD;353;00DB4F6359814D3B;C000057661;visa;2031-03-12;UTC;Settled;3C6B597008484737;USD;309.0;16.0;325.0
JetBrains;JetBrainsUSD;353;00DD399931D34FA9;A000050952;visa;2031-02-05;UTC;Settled;794269FBFC744A9D;USD;285.0;15.0;300.0
JetBrains;JetBrainsUSD;353;00EB2C1ECAAD4FC9;C000005432;visa;2031-04-05;UTC;Settled;B5B36C8A21294092;USD;185.0;10.0;195.0
JetBrains;JetBrainsUSD;353;00F1CFEC5CB746A2;C000070739;mc;2031-01-19;UTC;Settled;650DDCB6A94749F5;USD;114.0;6.0;120.0
JetBrains;JetBrainsUSD;353;00F5D40EA8224950;R000049974;visa;2031-03-02;UTC;Settled;58BE18FA482C45E3;USD;380.0;20.0;400.0
JetBrains;JetBrainsUSD;353;00FDD23846844D82;A000000001;mc;2031-02-05;UTC;Settled;DF11791D7BE3413E;USD;80.0;4.0;84.0
JetBrains;JetBrainsUSD;353;00FE6E47E8954D56;R000012217;mc;2031-02-02;UTC;Settled;38F5E302771B4362;USD;333.0;17.0;350.0
JetBrains;JetBrainsUSD;353;01008ED1DAA24F56;A000054573;visa;2030-12-17;UTC;Settled;3848C0128AFD4145;USD;120.0;6.0;126.0
JetBrains;JetBrainsUSD;353;010B9D9B5A174EBC;E000059334;visa;2031-01-24;UTC;Settled;1F6F4026DEC14476;USD;371.0;19.0;390.0
JetBrains;JetBrainsUSD;353;011C91BD73274BBB;C000028929;mc;2031-02-09;UTC;Settled;9C53D5C530444CC0;USD;556.0;29.0;585.0
JetBrains;JetBrainsUSD;353;014185ABC0FB4CCA;E000000272;visa;2031-02-19;UTC;Settled;F4DF1A4717F340F1;USD;19.0;1.0;20.0
JetBrains;JetBrainsUSD;353;01464B7E5E53480A;R000044068;visa;2031-03-16;UTC;Settled;52B7E5F51C214C0A;USD;247.0;13.0;260.0
JetBrains;JetBrainsUSD;353;01472C7CBF4F4704;E000005538;visa;2031-01-08;UTC;Settled;D0F91168DF0840CD;USD;618.0;32.0;650.0
JetBrains;JetBrainsUSD;353;0147EEC09E6C47C3;C000031502;visa;2031-04-04;UTC;Settled;AC81FD5E10F545B4;USD;13.0;1.0;14.0
JetBrains;JetBrainsUSD;353;014A353587F04A80;A000033750;visa;2031-01-10;UTC;Settled;E8D81DCBD3E14F85;USD;93.0;5.0;98.0
JetBrains;JetBrainsUSD;353;015856D128134E85;R000043456;visa;2031-01-01;UTC;Settled;9923C2B1F432448F;USD;380.0;20.0;400.0
JetBrains;JetBrainsUSD;353;015DC7E7E8064BBB;Z000010653;visa;2031-01-08;UTC;Settled;368D9138DB89462E;USD;309.0;16.0;325.0
JetBrains;JetBrainsUSD;353;01629A727EE34B23;E000022614;visa;2030-12-23;UTC;Settled;07E9CB989C8A4AB0;USD;53.0;3.0;56.0
JetBrains;JetBrainsUSD;353;0168133049E24E9C;E000026980;visa;2031-04-14;UTC;Settled;D4E8C71911FB4595;USD;556.0;29.0;585.0
JetBrains;JetBrainsUSD;353;01746961AAF94194;C000057822;visa;2031-02-15;UTC;Settled;0B54F593DCD04A7F;USD;556.0;29.0;585.0
JetBrains;JetBrainsUSD;353;017BBD8E9D824608;E000063232;visa;2031-02-10;UTC;Settled;63FA7C811969446D;USD;428.0;22.0;450.0
JetBrains;JetBrainsUSD;353;0185C5D4B8EC4395;A000043939;mc;2031-04-06;UTC;Settled;4B2B2D79AC834894;USD;19.0;1.0;20.0
JetBrains;JetBrainsUSD;353;0194A9091BCE4B6E;E000060245;mc;2030-12-19;UTC;Settled;281ED895A6DC40A3;USD;171.0;9.0;180.0
JetBrains;JetBrainsUSD;353;01A6DC43DA454C50;E000004846;visa;2031-03-13;UTC;Settled;AD2D463D2AF84F29;USD;95.0;5.0;100.0
JetBrains;JetBrainsUSD;353;01A86E76FC4A4D2C;Z000020520;mc;2030-12-24;UTC;Settled;CD27B44E2C7843C3;USD;432.0;23.0;455.0
JetBrains;JetBrainsUSD;353;01A881E7F52048DB;E000006470;visa;2030-12-18;UTC;Settled;7B71A5B922A74896;USD;95.0;5.0;100.0
JetBrains;JetBrainsUSD;353;01B1ACB60D634698;C000053082;visa;2031-01-23;UTC;Settled;A66EDDE7119A4CF3;USD;106.0;6.0;112.0
JetBrains;JetBrainsUSD;353;01B92D97E5EB4445;C000051387;visa;2031-03-21;UTC;Settled;F6C1012C0CB04BF7;USD;67.0;3.0;70.0
JetBrains;JetBrainsUSD;353;01C0E1EDEC62454B;A000046611;visa;2031-02-16;UTC;Settled;C618A9A4A3654D15;USD;238.0;12.0;250.0
JetBrains;JetBrainsUSD;353;01C4E56734CB4981;A000017574;visa;2031-03-27;UTC;Settled;8A4EEC9FE396414A;USD;124.0;6.0;130.0
JetBrains;JetBrainsUSD;353;01C757859BBA4A7B;C000019875;mc;2031-01-30;UTC;Settled;4C633977BF2E4C5C;USD;238.0;12.0;250.0
JetBrains;JetBrainsUSD;353;01F81D6D5B484049;A000011661;visa;2030-12-23;UTC;Settled;DAFED4B4F5DD4533;USD;494.0;26.0;520.0
JetBrains;JetBrainsUSD;353;01FC5C0517704339;R000036651;visa;2031-03-16;UTC;Settled;44D1F67E85AB4243;USD;76.0;4.0;80.0
JetBrains;JetBrainsUSD;353;02027AC57C094F27;Z000037378;mc;2030-12-30;UTC;Settled;90E8F364839F4E74;USD;93.0;5.0;98.0
JetBrains;JetBrainsUSD;353;02053241105341A9;R000003682;mc;2031-04-13;UTC;Settled;1FC53ACBB8624BF8;USD;38.0;2.0;40.0
JetBrains;JetBrainsUSD;353;0212B1BB38D7477D;E000013916;mc;2031-01-30;UTC;Settled;B392FC874D1945DE;USD;57.0;3.0;60.0
JetBrains;JetBrainsUSD;353;021847BABACF4D71;C000000339;visa;2031-04-14;UTC;Settled;F1C28F34DF4D4371;USD;190.0;10.0;200.0
JetBrains;JetBrainsUSD;353;0219F99FBFBF4D6A;Z000046146;visa;2031-02-19;UTC;Settled;0F23EB85898A42EF;USD;13.0;1.0;14.0
JetBrains;JetBrainsUSD;353;0227AB0BA47C479B;E000054922;visa;2031-03-09;UTC;Settled;DC104D6F822D4B5B;USD;40.0;2.0;42.0
JetBrains;JetBrainsUSD;353;0260082516FB4DCB;C000000732;mc;2031-03-23;UTC;Settled;083C32B5D33344CC;USD;80.0;4.0;84.0
JetBrains;JetBrainsUSD;353;026B68E116374E46;A000040513;visa;2030-12-20;UTC;Settled;03F20E7A84C043EE;USD;80.0;4.0;84.0
JetBrains;JetBrainsUSD;353;026FDD7BB0BF4065;E000046882;mc;2031-01-02;UTC;Settled;5FF5C07E8C1440AB;USD;95.0;5.0;100.0
JetBrains;JetBrainsUSD;353;027E71A08ECB495B;C000016746;visa;2031-04-15;UTC;Settled;9399E45B92714899;USD;114.0;6.0;120.0
JetBrains;JetBrainsUSD;353;02AE25A85F2F4D8F;R000063417;visa;2031-01-10;UTC;Settled;464D38094F0345EE;USD;48.0;2.0;50.0
JetBrains;JetBrainsUSD;353;02B47995C1C544EA;Z000049260;visa;2031-02-17;UTC;Settled;E972B4AF4D6C4235;USD;93.0;5.0;98.0
JetBrains;JetBrainsUSD;353;02CB16CB96A54888;A000022236;visa;2031-02-11;UTC;Settled;12B6B7FB4ED5499D;USD;80.0;4.0;84.0
JetBrains;JetBrainsUSD;353;02CD78DF57AC4716;E000051081;visa;2031-03-19;UTC;Settled;86AD6EDE88CC4901;USD;124.0;6.0;130.0
JetBrains;JetBrainsUSD;353;02CE55802A784353;A000037423;visa;2031-03-09;UTC;Settled;49A88856E51F4942;USD;13.0;1.0;14.0
JetBrains;JetBrainsUSD;353;02EA9ABCE5FC4128;A000043953;visa;2031-03-04;UTC;Settled;254885EAE6644925;USD;190.0;10.0;200.0
JetBrains;JetBrainsUSD;353;02EDC0C150B14393;C000016800;mc;2031-03-17;UTC;Settled;400BAD2A23D64A26;USD;333.0;17.0;350.0
JetBrains;JetBrainsUSD;353;02F0C8E897E74E16;E000068684;visa;2031-01-18;UTC;Settled;287DDB40D94E4BD5;USD;93.0;5.0;98.0
JetBrains;JetBrainsUSD;353;0303B224A04B41DB;C000062192;mc;2030-12-28;UTC;Settled;187D0D9374204AF6;USD;48.0;2.0;50.0
JetBrains;JetBrainsUSD;353;030C432262B3448D;Z000044820;visa;2031-02-21;UTC;Settled;8F6D168EA5614BB6;USD;95.0;5.0;100.0
JetBrains;JetBrainsUSD;353;031353094A51470B;E000026104;visa;2031-01-18;UTC;Settled;F23040468A4845E6;USD;428.0;22.0;450.0
JetBrains;JetBrainsUSD;353;03135346E1884955;A000010250;mc;2030-12-30;UTC;Settled;F2824F7193E342DC;USD;133.0;7.0;140.0
JetBrains;JetBrainsUSD;353;03284268B3644357;Z000028320;visa;2031-01-29;UTC;Settled;B44314990BC240EC;USD;57.0;3.0;60.0
JetBrains;JetBrainsUSD;353;0328AF43CA264711;E000058950;visa;2031-01-26;UTC;Settled;AD905BB30B4F4F0A;USD;95.0;5.0;100.0
